Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-1.6455E-06,-2.7132E-06,0.13522,0,0,0,1.9509,0.0068935,-1.5477E-07,-1.6748E-08,0.0068934,-2.768E-08,0.012599,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/body.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/body.STL,,spider_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_L1_J1,0.0208533170560279,5.55111512312578E-17,-0.0120000000000001,0,0,0,0.00957341037321664,6.35237498388445E-07,1.56171699650012E-21,1.62186169348837E-20,2.95388816018321E-06,-8.55851251114884E-22,3.07273769122766E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L1_J1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L1_J1.STL,,Link_A-27,Origin_L1_J1,Axis_L1_J1,L1_J1,continuous,0.108832033144844,-0.108832033144843,0.118000000000001,3.14159265358978,0,-0.785398163397437,body,0,0,1,0,0,0,0,,,,,,,,
link_L1_J2,1.2490009027033E-16,-9.71445146547012E-17,0.0509087121146357,0,0,0,0.0214270498659543,2.34021439622059E-05,1.6940658945086E-21,-6.52215369385811E-20,2.39989247736348E-05,5.44218668610888E-20,1.16162974067387E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L1_J2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L1_J2.STL,,Link_B-27,Origin_L1_J2,Axis_L1_J2,L1_J2,continuous,0.0329903810567685,0,-0.0119999999999972,-2.6179938779915,0,-1.5707963267949,link_L1_J1,1,0,0,0,0,0,0,,,,,,,,
link_L1_J3,-0.0509087121146357,5.55111512312578E-17,-1.80411241501588E-16,0,0,0,0.0238433927437446,1.0284985609508E-06,3.55224442254772E-20,-3.93076227085199E-20,3.82502554199004E-05,0,3.83846267529608E-05,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L1_J3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L1_J3.STL,,Link_C-27,Origin_L1_J3,Axis_L1_J3,L1_J3,continuous,0,0,0.101817424229271,1.5707963267949,-0.523598775598305,1.57079632679489,link_L1_J2,0,0,1,0,0,0,0,,,,,,,,
link_L1_J4,-2.43606079752823E-10,-0.00336940912784056,-0.0483315670397482,0,0,0,0.0205677845340441,2.06704743841636E-05,2.0589781913943E-14,1.55720656723181E-13,2.05646985832854E-05,-2.80021798240062E-06,1.64193171564564E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L1_J4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L1_J4.STL,,Link_D-27,Origin_L1_J4,Axis_L1_J4,L1_J4,continuous,-0.101817424229271,0,0,0,1.57079630572147,0,link_L1_J3,1,0,0,0,0,0,0,,,,,,,,
link_L2_J1,0.0208533170560278,1.39607056712601E-15,-0.0120000000000003,0,0,0,0.00957341037321663,6.35237498388445E-07,8.77009254019188E-20,1.82209679161877E-20,2.95388816018321E-06,8.18836950869645E-22,3.07273769122765E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L2_J1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L2_J1.STL,,Link_A-36,Origin_L2_J1,Axis_L2_J1,L2_J1,continuous,0,-0.119999999999998,0.118000000000001,-3.14159265358979,0,-1.5707963267949,body,0,0,1,0,0,0,0,,,,,,,,
link_L2_J2,1.85556077463149E-16,1.52655665885959E-16,0.0509087121146356,0,0,0,0.0214270498659543,2.34021439622059E-05,-1.90620846702163E-20,-4.90560858710119E-19,2.39989247736348E-05,-3.01226091867311E-20,1.16162974067388E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L2_J2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L2_J2.STL,,Link_B-38,Origin_L2_J2,Axis_L2_J2,L2_J2,continuous,0.0329903810567693,0,-0.0119999999999971,-2.61799387799148,0,-1.5707963267949,link_L2_J1,1,0,0,0,0,0,0,,,,,,,,
link_L2_J3,-0.0509087121146357,5.55111512312578E-17,1.24722336855482E-15,0,0,0,0.0238433927437446,1.0284985609508E-06,3.76664963732147E-20,2.22812698519546E-21,3.82502554199004E-05,-3.52278231475703E-22,3.83846267529608E-05,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L2_J3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L2_J3.STL,,Link_C-36,Origin_L2_J3,Axis_L2_J3,L2_J3,continuous,0,0,0.101817424229271,1.57079632679492,-0.5235987755983,1.57079632679491,link_L2_J2,0,0,1,0,0,0,0,,,,,,,,
link_L2_J4,-2.56225962359296E-10,-0.00336940912355477,-0.0483315670388598,0,0,0,0.0205677845321001,2.06704743858935E-05,2.03948455881812E-14,1.64093794934694E-13,2.05646985850488E-05,-2.80021798643706E-06,1.64193171548092E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L2_J4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L2_J4.STL,,Link_D-36,Origin_L2_J4,Axis_L2_J4,L2_J4,continuous,-0.101817424229271,0,0,0,1.5707963267949,0,link_L2_J3,1,0,0,0,0,0,0,,,,,,,,
link_L3_J1,0.0208533170560279,-1.38777878078145E-17,-0.0120000000000004,0,0,0,0.00957341037321663,6.35237498388445E-07,-1.05879118406788E-22,-6.69667750469578E-22,2.95388816018321E-06,-4.36347195670051E-23,3.07273769122765E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L3_J1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L3_J1.STL,,Link_A-26,Origin_L3_J1,Axis_L3_J1,L3_J1,continuous,-0.108832033144843,-0.108832033144843,0.118000000000001,3.14159265358979,0,-2.35619449019234,body,0,0,1,0,0,0,0,,,,,,,,
link_L3_J2,1.94289029309402E-16,2.91433543964104E-16,0.0509087121146358,0,0,0,0.0214270498659543,2.34021439622059E-05,1.6940658945086E-21,-9.00501902049728E-20,2.39989247736348E-05,-1.1683760716189E-19,1.16162974067388E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L3_J2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L3_J2.STL,,Link_B-26,Origin_L3_J2,Axis_L3_J2,L3_J2,continuous,0.0329903810567658,0,-0.0120000000000016,-2.61799387799149,0,-1.5707963267949,link_L3_J1,1,0,0,0,0,0,0,,,,,,,,
link_L3_J3,-0.0509087121146357,-5.55111512312578E-17,1.38777878078145E-17,0,0,0,0.0238433927437446,1.02849856095081E-06,-2.17052192733914E-21,5.96628832222248E-20,3.82502554199004E-05,-6.7762635780344E-21,3.83846267529608E-05,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L3_J3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L3_J3.STL,,Link_C-26,Origin_L3_J3,Axis_L3_J3,L3_J3,continuous,0,0,0.101817424229271,1.5707963267949,-0.523598775598299,1.57079632679489,link_L3_J2,0,0,1,0,0,0,0,,,,,,,,
link_L3_J4,-2.4360616301955E-10,-0.00336940912784078,-0.0483315670397482,0,0,0,0.020567784534044,2.06704743841635E-05,2.05897802198771E-14,1.55720654711478E-13,2.05646985832853E-05,-2.80021798240069E-06,1.64193171564566E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L3_J4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L3_J4.STL,,Link_D-26,Origin_L3_J4,Axis_L3_J4,L3_J4,continuous,-0.101817424229271,0,0,0,1.5707963267949,0,link_L3_J3,1,0,0,0,0,0,0,,,,,,,,
link_L4_J1,0.0208533170560279,-2.77555756156289E-17,-0.0120000000000006,0,0,0,0.00957341037321663,6.35237498388445E-07,1.03232140446618E-21,-7.47380327368679E-22,2.95388816018321E-06,8.75808333581437E-23,3.07273769122766E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L4_J1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L4_J1.STL,,Link_A-24,Origin_L5_J1,Axis_L5_J1,L4_J1,continuous,-0.108832033144842,0.108832033144844,0.118,3.14159265358979,0,2.35619449019236,body,0,0,1,0,0,0,0,,,,,,,,
link_L4_J2,4.16333634234434E-17,-4.16333634234434E-17,0.0509087121146357,0,0,0,0.0214270498659543,2.34021439622059E-05,8.470329472543E-22,-6.06157952878859E-21,2.39989247736348E-05,2.5675686213646E-21,1.16162974067387E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L4_J2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L4_J2.STL,,Link_B-24,Origin_L5_J2,Axis_L5_J2,L4_J2,continuous,0.0329903810567659,0,-0.0120000000000015,-2.61799387799148,0,-1.5707963267949,link_L4_J1,1,0,0,0,0,0,0,,,,,,,,
link_L4_J3,-0.0509087121146358,-5.55111512312578E-17,6.93889390390723E-17,0,0,0,0.0238433927437446,1.0284985609508E-06,-6.02187485938604E-21,1.69141891654843E-20,3.82502554199004E-05,-6.7762635780344E-21,3.83846267529608E-05,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L4_J3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L4_J3.STL,,Link_C-24,Origin_L5_J3,Axis_L5_J3,L4_J3,continuous,0,0,0.101817424229271,1.5707963267949,-0.523598775598301,1.57079632679489,link_L4_J2,0,0,1,0,0,0,0,,,,,,,,
link_L4_J4,-2.43605996486096E-10,-0.00336940912784089,-0.0483315670397481,0,0,0,0.0205677845340441,2.06704743841636E-05,2.05897903842725E-14,1.55720716756641E-13,2.05646985832853E-05,-2.80021798240075E-06,1.64193171564568E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L4_J4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L4_J4.STL,,Link_D-24,Origin_L5_J4,Axis_L5_J4,L4_J4,continuous,-0.101817424229271,0,0,0,1.5707963267949,0,link_L4_J3,1,0,0,0,0,0,0,,,,,,,,
link_L5_J1,0.0208533170560278,-1.41575011668319E-15,-0.0120000000000006,0,0,0,0.00957341037321665,6.35237498388446E-07,4.05138579231856E-20,1.77093203280465E-20,2.95388816018322E-06,1.22391639046936E-22,3.07273769122766E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L5_J1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L5_J1.STL,,Link_A-37,Origin_L6_J1,Axis_L6_J1,L5_J1,continuous,0,0.120000000000001,0.118,3.14159265358979,0,1.5707963267949,body,0,0,1,0,0,0,0,,,,,,,,
link_L5_J2,0.0100000000000021,-0.0225705080756829,0.0777962074884351,0,0,0,0.0214270498659543,2.34021439622059E-05,-9.40119986034315E-21,-2.10493938222404E-19,2.39989247736348E-05,1.74700545371199E-21,1.16162974067387E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L5_J2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L5_J2.STL,,Link_B-39,Origin_L6_J2,Axis_L6_J2,L5_J2,continuous,0,0.01,0,-2.61799387799148,0,-1.5707963267949,link_L5_J1,1,0,0,0,0,0,0,,,,,,,,
link_L5_J3,-0.0509087121146357,0,0.00750000000000004,0,0,0,0.0238433927437446,1.02849856095081E-06,-2.62050818056799E-21,-9.73845013888036E-22,3.82502554199004E-05,-1.45519749587991E-22,3.83846267529608E-05,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L5_J3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L5_J3.STL,,Link_C-37,Origin_L6_J3,Axis_L6_J3,L5_J3,continuous,0.00250000000000243,-0.0225705080756833,0.128704919603071,1.57079632679491,-0.523598775598298,1.57079632679491,link_L5_J2,0,0,1,0,0,0,0,,,,,,,,
link_L5_J4,-0.00750000025622259,-0.00336940912355493,-0.0483315670388597,0,0,0,0.0205677845321,2.06704743858935E-05,2.03948818630576E-14,1.64093990166694E-13,2.05646985850489E-05,-2.80021798643706E-06,1.64193171548093E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L5_J4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L5_J4.STL,,Link_D-37,Origin_L6_J4,Axis_L6_J4,L5_J4,continuous,-0.101817424229272,0,0,0,1.5707963267949,0,link_L5_J3,1,0,0,0,0,0,0,,,,,,,,
link_L6_J1,0.0208533170560278,-9.71445146547012E-17,-0.0120000000000002,0,0,0,0.00957341037321664,6.35237498388445E-07,-1.58818677610181E-22,1.61571029135456E-20,2.95388816018321E-06,9.35076574667278E-22,3.07273769122766E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L6_J1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L6_J1.STL,,Link_A-31,Origin_L7_J1,Axis_L7_J1,L6_J1,continuous,0.108832033144843,0.108832033144844,0.118000000000001,-3.14159265358979,0,0.785398163397464,body,0,0,1,0,0,0,0,,,,,,,,
link_L6_J2,1.38777878078145E-17,-6.28663787693995E-15,0.0509087121146328,0,0,0,0.0214270498659542,2.34021439622059E-05,0,-1.94288182276455E-20,2.39989247736348E-05,3.4146015686189E-20,1.16162974067387E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L6_J2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L6_J2.STL,,Link_B-33,Origin_L7_J2,Axis_L7_J2,L6_J2,continuous,0.0329903810567665,0,-0.0120000000000004,-2.61799387799149,0,-1.5707963267949,link_L6_J1,1,0,0,0,0,0,0,,,,,,,,
link_L6_J3,-0.0509087121146358,0,1.66533453693773E-16,0,0,0,0.0238433927437446,1.0284985609508E-06,-4.56603698129271E-20,4.22987078035116E-20,3.82502554199004E-05,-5.0821976835258E-21,3.83846267529607E-05,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L6_J3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L6_J3.STL,,Link_C-31,Origin_L7_J3,Axis_L7_J3,L6_J3,continuous,0,0,0.101817424229268,1.5707963267949,-0.523598775598301,1.5707963267949,link_L6_J2,0,0,1,0,0,0,0,,,,,,,,
link_L6_J4,-2.4360616301955E-10,-0.00336940912784056,-0.0483315670397482,0,0,0,0.020567784534044,2.06704743841635E-05,2.05897861491077E-14,1.55720700557136E-13,2.05646985832853E-05,-2.80021798240061E-06,1.64193171564563E-06,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L6_J4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SpiderBot_6Legs/meshes/link_L6_J4.STL,,Link_D-31,Origin_L7_J4,Axis_L7_J4,L6_J4,continuous,-0.101817424229271,0,0,0,1.5707963267949,0,link_L6_J3,1,0,0,0,0,0,0,,,,,,,,
